image_name,species,file_path,image_path,blurry_image,humans_present,other_taxa,niqe_score
Bellis_perennis_79728.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_79728.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_79728.jpg,No,No,Yes,3.507445437992778
Bellis_perennis_29107.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_29107.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_29107.jpg,No,No,Yes,3.68140123296004
Bellis_perennis_1642.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_1642.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_1642.jpg,No,Yes,No,3.665299653084183
Bellis_perennis_74387.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_74387.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_74387.jpg,Yes,No,Yes,4.378344318367275
Bellis_perennis_24741.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_24741.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_24741.jpg,No,No,Yes,3.136996117756599
Bellis_perennis_74274.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_74274.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_74274.jpg,No,No,Yes,4.696872926298114
Bellis_perennis_24445.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_24445.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_24445.jpg,No,No,Yes,3.014477058963697
Bellis_perennis_68000.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_68000.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_68000.jpg,No,No,Yes,4.219245808460715
Bellis_perennis_54074.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_54074.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_54074.jpg,No,No,Yes,3.8552440502359873
Bellis_perennis_1131.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_1131.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_1131.jpg,No,Yes,No,4.121404367953134
